dataset,alpha,algo,beta,lr,seed,avg_round_time_s
FashionMNIST,0.01,FedGTA,0.5,0.01,0,1.7979
FashionMNIST,0.01,FedAvg,0.5,0.01,0,1.5482
FashionMNIST,0.01,FedProx,0.5,0.01,0,1.4572
FashionMNIST,0.01,FedNova,0.5,0.01,0,1.5579
FashionMNIST,0.01,Scaffold,0.5,0.01,0,1.6104
FashionMNIST,0.01,FedDyn,0.5,0.01,0,2.7844
FashionMNIST,0.01,FedSAM,0.5,0.01,0,1.7577
MNIST,0.01,FedSAM,0.5,0.01,0,1.8187
MNIST,0.01,FedDyn,0.5,0.01,0,2.8999
MNIST,0.01,FedNova,0.5,0.01,0,1.5017
MNIST,0.01,FedGTA,0.5,0.01,0,1.8526
MNIST,0.01,FedProx,0.5,0.01,0,1.4893
MNIST,0.01,FedAvg,0.5,0.01,0,1.4110
MNIST,0.01,Scaffold,0.5,0.01,0,1.6603
ImageNet,0.01,Scaffold,0.5,0.01,0,39.1211
ImageNet,0.01,FedAvg,0.5,0.01,0,37.2919
ImageNet,0.01,FedGTA,0.5,0.01,0,37.8174
ImageNet,0.01,FedProx,0.5,0.01,0,37.7068
ImageNet,0.01,FedNova,0.5,0.01,0,37.6589
ImageNet,0.01,FedDyn,0.5,0.01,0,39.6903
ImageNet,0.01,FedSAM,0.5,0.01,0,51.7733
CIFAR10,0.01,FedSAM,0.5,0.01,0,6.2699
CIFAR10,0.01,FedDyn,0.5,0.01,0,4.8312
CIFAR10,0.01,FedAvg,0.5,0.01,0,3.6745
CIFAR10,0.01,FedProx,0.5,0.01,0,3.7243
CIFAR10,0.01,FedNova,0.5,0.01,0,3.7276
CIFAR10,0.01,FedGTA,0.5,0.01,0,3.8786
CIFAR10,0.01,Scaffold,0.5,0.01,0,4.0395
CIFAR100,0.01,Scaffold,0.5,0.01,0,4.1393
CIFAR100,0.01,FedAvg,0.5,0.01,0,3.8822
CIFAR100,0.01,FedProx,0.5,0.01,0,3.8566
CIFAR100,0.01,FedGTA,0.5,0.01,0,4.0141
CIFAR100,0.01,FedNova,0.5,0.01,0,3.8057
CIFAR100,0.01,FedSAM,0.5,0.01,0,6.5246
CIFAR100,0.01,FedDyn,0.5,0.01,0,4.9548
